t              nodalLine_nextTo_Loop_Port2.fdtd_Bulk probe_port2_Jz_24_39_80__25_40_80.dat
   0.27423865023475102E-009   0.748436491E-006
   0.27577931680910356E-009   0.763889261E-006
   0.27731998338345609E-009   0.779640686E-006
   0.27886064995780863E-009   0.795706285E-006
   0.28040131653216116E-009   0.812101689E-006
   0.28194198310651369E-009   0.828838097E-006
   0.28348264968086623E-009   0.845920454E-006
   0.28502331625521876E-009   0.863346031E-006
   0.28656398282957130E-009   0.881106644E-006
   0.28810464940392383E-009   0.899198369E-006
   0.28964531597827636E-009   0.917632633E-006
   0.29118598255262890E-009   0.936435981E-006
   0.29272664912698143E-009   0.955633482E-006
   0.29426731570133396E-009   0.975233775E-006
   0.29580798227568650E-009   0.995227083E-006
   0.29734864885003903E-009   0.101559772E-005
   0.29888931542439157E-009   0.103633920E-005
   0.30042998199874410E-009   0.105746267E-005
   0.30197064857309663E-009   0.107899552E-005
   0.30351131514744917E-009   0.110097108E-005
   0.30505198172180170E-009   0.112341229E-005
   0.30659264829615424E-009   0.114631916E-005
   0.30813331487050677E-009   0.116967601E-005
   0.30967398144485930E-009   0.119346873E-005
   0.31121464801921184E-009   0.121770199E-005
   0.31275531459356437E-009   0.124239921E-005
   0.31429598116791690E-009   0.126758778E-005
   0.31583664774226944E-009   0.129328669E-005
   0.31737731431662197E-009   0.131950117E-005
   0.31891798089097451E-009   0.134622564E-005
   0.32045864746532704E-009   0.137345478E-005
   0.32199931403967957E-009   0.140119232E-005
   0.32353998061403211E-009   0.142946078E-005
   0.32508064718838464E-009   0.145829040E-005
   0.32662131376273718E-009   0.148770528E-005
   0.32816198033708971E-009   0.151771110E-005
   0.32970264691144224E-009   0.154830036E-005
   0.33124331348579478E-009   0.157946499E-005
   0.33278398006014731E-009   0.161120738E-005
   0.33432464663449984E-009   0.164354401E-005
   0.33586531320885238E-009   0.167650023E-005
   0.33740597978320491E-009   0.171010424E-005
   0.33894664635755745E-009   0.174437901E-005
   0.34048731293190998E-009   0.177933566E-005
   0.34202797950626251E-009   0.181497444E-005
   0.34356864608061505E-009   0.185129193E-005
   0.34510931265496758E-009   0.188829063E-005
   0.34664997922932012E-009   0.192598304E-005
   0.34819064580367265E-009   0.196438941E-005
   0.34973131237802518E-009   0.200353293E-005
   0.35127197895237772E-009   0.204343678E-005
   0.35281264552673025E-009   0.208411802E-005
   0.35435331210108278E-009   0.212558552E-005
   0.35589397867543532E-009   0.216784360E-005
   0.35743464524978785E-009   0.221090090E-005
   0.35897531182414039E-009   0.225477561E-005
   0.36051597839849292E-009   0.229948910E-005
   0.36205664497284545E-009   0.234505865E-005
   0.36359731154719799E-009   0.239149722E-005
   0.36513797812155052E-009   0.243881459E-005
   0.36667864469590306E-009   0.248702236E-005
   0.36821931127025559E-009   0.253613803E-005
   0.36975997784460812E-009   0.258618638E-005
   0.37130064441896066E-009   0.263719585E-005
   0.37284131099331319E-009   0.268919030E-005
   0.37438197756766572E-009   0.274218155E-005
   0.37592264414201826E-009   0.279616916E-005
   0.37746331071637079E-009   0.285115448E-005
   0.37900397729072333E-009   0.290715275E-005
   0.38054464386507586E-009   0.296419648E-005
   0.38208531043942839E-009   0.302232570E-005
   0.38362597701378093E-009   0.308157587E-005
   0.38516664358813346E-009   0.314196677E-005
   0.38670731016248600E-009   0.320350091E-005
   0.38824797673683853E-009   0.326617555E-005
