time	V(n001)	I(R1)
1.219536887294327e-04	1.137873e-02	-5.732883e-07
1.224419699794327e-04	1.140882e-02	-6.333261e-07
1.234185324794327e-04	1.147868e-02	-7.728336e-07
1.238370592651470e-04	1.151319e-02	-8.407787e-07
1.242555860508613e-04	1.155039e-02	-9.073919e-07
1.246741128365756e-04	1.159028e-02	-9.726731e-07
1.250926396222899e-04	1.163286e-02	-1.036622e-06
1.255111664080041e-04	1.167814e-02	-1.099240e-06
1.259296931937184e-04	1.172611e-02	-1.160525e-06
1.263482199794327e-04	1.177678e-02	-1.220479e-06
1.273247824794327e-04	1.190274e-02	-1.332603e-06
1.278130637294327e-04	1.196939e-02	-1.375044e-06
1.283013449794327e-04	1.203752e-02	-1.407050e-06
1.287896262294327e-04	1.210698e-02	-1.427916e-06
1.292779074794327e-04	1.217699e-02	-1.437202e-06
1.297661887294327e-04	1.224711e-02	-1.434744e-06
1.302544699794327e-04	1.231657e-02	-1.420658e-06
1.307427512294327e-04	1.238513e-02	-1.395332e-06
1.312310324794327e-04	1.245207e-02	-1.359421e-06
1.322075949794327e-04	1.257923e-02	-1.259666e-06
1.331841574794327e-04	1.269480e-02	-1.131120e-06
1.336026842651470e-04	1.274014e-02	-1.067468e-06
1.340212110508613e-04	1.278290e-02	-1.004593e-06
1.344397378365756e-04	1.282309e-02	-9.424970e-07
1.348582646222899e-04	1.286070e-02	-8.811792e-07
1.352767914080041e-04	1.289573e-02	-8.206396e-07
1.356953181937184e-04	1.292819e-02	-7.608782e-07
1.361138449794327e-04	1.295808e-02	-7.018951e-07
1.366021262294327e-04	1.299021e-02	-6.418736e-07
1.370904074794327e-04	1.301981e-02	-5.892481e-07
1.375786887294327e-04	1.304707e-02	-5.452271e-07
1.380669699794327e-04	1.307247e-02	-5.108096e-07
1.385552512294327e-04	1.309659e-02	-4.867630e-07
1.390435324794327e-04	1.311993e-02	-4.736055e-07
1.395318137294327e-04	1.314297e-02	-4.715954e-07
1.400200949794327e-04	1.316639e-02	-4.807263e-07
1.405083762294327e-04	1.319048e-02	-5.007283e-07
1.409966574794327e-04	1.321594e-02	-5.310760e-07
1.414849387294327e-04	1.324321e-02	-5.710015e-07
1.419732199794327e-04	1.327292e-02	-6.195145e-07
1.424615012294327e-04	1.330500e-02	-6.754266e-07
1.434380637294327e-04	1.337845e-02	-8.038801e-07
1.438565905151470e-04	1.341402e-02	-8.658731e-07
1.442751173008613e-04	1.345204e-02	-9.263958e-07
1.446936440865756e-04	1.349249e-02	-9.854483e-07
1.451121708722899e-04	1.353538e-02	-1.043031e-06
1.455306976580041e-04	1.358071e-02	-1.099143e-06
1.459492244437184e-04	1.362848e-02	-1.153784e-06
1.463677512294327e-04	1.367869e-02	-1.206956e-06
1.473443137294327e-04	1.380250e-02	-1.305127e-06
1.478325949794327e-04	1.386754e-02	-1.341536e-06
1.483208762294327e-04	1.393387e-02	-1.368330e-06
1.488091574794327e-04	1.400140e-02	-1.384925e-06
1.492974387294327e-04	1.406908e-02	-1.390976e-06
1.497857199794327e-04	1.413694e-02	-1.386392e-06
1.502740012294327e-04	1.420411e-02	-1.371332e-06
1.507622824794327e-04	1.427029e-02	-1.346203e-06
1.512505637294327e-04	1.433469e-02	-1.311648e-06
1.522271262294327e-04	1.445743e-02	-1.217910e-06
1.532036887294327e-04	1.456959e-02	-1.099237e-06
1.536222155151470e-04	1.461381e-02	-1.041032e-06
1.540407423008613e-04	1.465568e-02	-9.837869e-07
1.544592690865756e-04	1.469521e-02	-9.274999e-07
1.548777958722899e-04	1.473240e-02	-8.721717e-07
1.552963226580042e-04	1.476726e-02	-8.178021e-07
1.557148494437185e-04	1.479977e-02	-7.643912e-07
1.561333762294327e-04	1.482994e-02	-7.119389e-07
1.566216574794327e-04	1.486284e-02	-6.589585e-07
1.571099387294327e-04	1.489345e-02	-6.129354e-07
1.575982199794327e-04	1.492209e-02	-5.749243e-07
1.580865012294327e-04	1.494915e-02	-5.457849e-07
1.585747824794327e-04	1.497507e-02	-5.261632e-07
1.590630637294327e-04	1.500054e-02	-5.164771e-07
1.595513449794327e-04	1.502563e-02	-5.169074e-07
1.600396262294327e-04	1.505123e-02	-5.273949e-07
1.605279074794327e-04	1.507779e-02	-5.476430e-07
1.610161887294327e-04	1.510545e-02	-5.771257e-07
1.615044699794327e-04	1.513501e-02	-6.151011e-07
1.619927512294327e-04	1.516654e-02	-6.606303e-07
1.629693137294327e-04	1.523743e-02	-7.697508e-07
1.633878405151470e-04	1.527131e-02	-8.241850e-07
1.638063673008613e-04	1.530742e-02	-8.781303e-07
1.642248940865756e-04	1.534576e-02	-9.315865e-07
1.646434208722899e-04	1.538632e-02	-9.845538e-07
1.650619476580042e-04	1.542912e-02	-1.037032e-06
1.654804744437185e-04	1.547414e-02	-1.089021e-06
1.658990012294327e-04	1.552138e-02	-1.140522e-06
1.668755637294327e-04	1.563891e-02	-1.239715e-06
1.678521262294327e-04	1.576434e-02	-1.310062e-06
1.683404074794327e-04	1.582905e-02	-1.332317e-06
1.688286887294327e-04	1.589464e-02	-1.345245e-06
1.693169699794327e-04	1.596037e-02	-1.348584e-06
1.698052512294327e-04	1.602580e-02	-1.342303e-06
1.702935324794327e-04	1.609097e-02	-1.326596e-06
1.712700949794327e-04	1.621720e-02	-1.268785e-06
1.722466574794327e-04	1.633617e-02	-1.180918e-06
1.737115012294327e-04	1.649547e-02	-1.011980e-06
1.741300280151470e-04	1.653600e-02	-9.576453e-07
1.745485548008613e-04	1.657451e-02	-9.054134e-07
1.749670815865756e-04	1.661102e-02	-8.552843e-07
1.753856083722899e-04	1.664551e-02	-8.072580e-07
1.758041351580042e-04	1.667800e-02	-7.613344e-07
1.762226619437185e-04	1.670849e-02	-7.175137e-07
1.766411887294327e-04	1.673696e-02	-6.757958e-07
1.771294699794327e-04	1.676839e-02	-6.356454e-07
1.776177512294327e-04	1.679849e-02	-6.029409e-07
1.781060324794328e-04	1.682700e-02	-5.784193e-07
1.785943137294328e-04	1.685476e-02	-5.626209e-07
1.790825949794328e-04	1.688200e-02	-5.558768e-07
1.795708762294328e-04	1.690908e-02	-5.583027e-07
1.800591574794328e-04	1.693690e-02	-5.697968e-07
1.805474387294328e-04	1.696541e-02	-5.900434e-07
1.810357199794328e-04	1.699512e-02	-6.185214e-07
1.815240012294328e-04	1.702662e-02	-6.545176e-07
1.820122824794328e-04	1.706005e-02	-6.971446e-07
1.829888449794328e-04	1.713399e-02	-7.980036e-07
1.834073717651470e-04	1.716892e-02	-8.478262e-07
1.838258985508613e-04	1.720588e-02	-8.969865e-07
1.842444253365756e-04	1.724484e-02	-9.454843e-07
1.846629521222899e-04	1.728583e-02	-9.933198e-07
1.850814789080042e-04	1.732883e-02	-1.040493e-06
1.855000056937185e-04	1.737385e-02	-1.087004e-06
1.859185324794328e-04	1.742089e-02	-1.132852e-06
1.868950949794328e-04	1.753676e-02	-1.220161e-06
1.878716574794328e-04	1.765972e-02	-1.280571e-06
1.883599387294328e-04	1.772298e-02	-1.298883e-06
1.888482199794328e-04	1.778661e-02	-1.308675e-06
1.893365012294328e-04	1.785061e-02	-1.309759e-06
1.903130637294328e-04	1.797725e-02	-1.286071e-06
1.912896262294328e-04	1.809973e-02	-1.230374e-06
1.922661887294328e-04	1.821529e-02	-1.148200e-06
1.937310324794328e-04	1.837083e-02	-9.931914e-07
1.951958762294328e-04	1.850256e-02	-8.298213e-07
1.961724387294328e-04	1.857774e-02	-7.333063e-07
1.966607199794328e-04	1.861237e-02	-6.922606e-07
1.971490012294328e-04	1.864485e-02	-6.573258e-07
1.976372824794328e-04	1.867604e-02	-6.292982e-07
1.981255637294328e-04	1.870614e-02	-6.088071e-07
1.986138449794328e-04	1.873536e-02	-5.963004e-07
1.991021262294328e-04	1.876425e-02	-5.920350e-07
1.995904074794328e-04	1.879333e-02	-5.960720e-07
2.000786887294328e-04	1.882289e-02	-6.082756e-07
2.005669699794328e-04	1.885316e-02	-6.283178e-07
2.010552512294328e-04	1.888471e-02	-6.556867e-07
2.015435324794328e-04	1.891801e-02	-6.896997e-07
2.025200949794328e-04	1.899025e-02	-7.741794e-07
2.029386217651470e-04	1.902391e-02	-8.174336e-07
2.033571485508613e-04	1.905941e-02	-8.607863e-07
2.037756753365756e-04	1.909677e-02	-9.042374e-07
2.041942021222899e-04	1.913599e-02	-9.477869e-07
2.046127289080042e-04	1.917705e-02	-9.914347e-07
2.050312556937185e-04	1.921996e-02	-1.035181e-06
2.054497824794328e-04	1.926473e-02	-1.079026e-06
2.064263449794328e-04	1.937530e-02	-1.165734e-06
2.074029074794328e-04	1.949312e-02	-1.230650e-06
2.083794699794328e-04	1.961565e-02	-1.267896e-06
2.093560324794328e-04	1.974002e-02	-1.274246e-06
2.103325949794328e-04	1.986307e-02	-1.249402e-06
2.113091574794328e-04	1.998226e-02	-1.195996e-06
2.122857199794328e-04	2.009453e-02	-1.119312e-06
2.127740012294328e-04	2.014769e-02	-1.071576e-06
2.132622824794328e-04	2.019848e-02	-1.023841e-06
2.137505637294328e-04	2.024688e-02	-9.761057e-07
2.142388449794328e-04	2.029291e-02	-9.283709e-07
2.147271262294328e-04	2.033655e-02	-8.806364e-07
2.152154074794328e-04	2.037782e-02	-8.329023e-07
2.157036887294328e-04	2.041670e-02	-7.851686e-07
2.166802512294328e-04	2.048877e-02	-7.082538e-07
2.171685324794328e-04	2.052234e-02	-6.779438e-07
2.176568137294328e-04	2.055462e-02	-6.540304e-07
