time	V(n001)	I(R1)
1.842245698608779e-05	4.474850e-03	1.394616e-08
1.886347296884690e-05	4.467093e-03	2.042726e-08
1.917758329491251e-05	4.460638e-03	2.064534e-08
1.940168801829427e-05	4.456164e-03	1.862630e-08
1.978974292453662e-05	4.450489e-03	1.124156e-08
1.998334792885990e-05	4.448790e-03	5.465669e-09
2.017695293318317e-05	4.448352e-03	-5.025648e-10
2.037055793750644e-05	4.449174e-03	-6.663145e-09
2.056416294182972e-05	4.451257e-03	-1.301607e-08
2.075776794615299e-05	4.454600e-03	-1.956134e-08
2.095137295047626e-05	4.459203e-03	-2.629896e-08
2.114497795479954e-05	4.465068e-03	-3.322892e-08
2.168286876349244e-05	4.486695e-03	-4.560606e-08
2.208272427724376e-05	4.505764e-03	-4.880950e-08
2.251303692419808e-05	4.526197e-03	-4.581282e-08
2.306888077247035e-05	4.548055e-03	-3.296931e-08
2.432021172466549e-05	4.560528e-03	1.268590e-08
2.467244683513861e-05	4.554155e-03	2.287101e-08
2.517029121593282e-05	4.540479e-03	3.096210e-08
2.538067116634115e-05	4.533827e-03	3.182826e-08
2.580143106715783e-05	4.521075e-03	2.889063e-08
2.620766178196648e-05	4.511083e-03	2.055768e-08
2.641821511888491e-05	4.507382e-03	1.381356e-08
2.662876845580334e-05	4.505099e-03	7.158029e-09
2.683932179272177e-05	4.504234e-03	5.910772e-10
2.704987512964019e-05	4.504785e-03	-5.887291e-09
2.726042846655862e-05	4.506755e-03	-1.227708e-08
2.747098180347705e-05	4.510141e-03	-1.857828e-08
2.768153514039548e-05	4.514946e-03	-2.479089e-08
2.818279665558652e-05	4.529880e-03	-3.310409e-08
2.840784952503288e-05	4.537264e-03	-3.417494e-08
2.885795526392559e-05	4.551966e-03	-3.101205e-08
2.919364247325056e-05	4.561189e-03	-2.423241e-08
2.982976697525917e-05	4.570271e-03	-4.024663e-09
3.005240158550240e-05	4.569749e-03	5.107997e-09
3.027503619574563e-05	4.567708e-03	1.341443e-08
3.049767080598886e-05	4.564147e-03	2.089463e-08
3.072030541623208e-05	4.559067e-03	2.754861e-08
3.094294002647531e-05	4.552466e-03	3.337636e-08
3.116557463671854e-05	4.544346e-03	3.837788e-08
3.138820924696176e-05	4.534707e-03	4.255318e-08
