time	I(R1)
1.428531408562212e-04	2.687156e-07
1.432979346817316e-04	2.693721e-07
1.437427285072419e-04	2.721869e-07
1.441875223327523e-04	2.771600e-07
1.446323161582627e-04	2.842914e-07
1.450450939752130e-04	2.889271e-07
1.454578717921633e-04	2.915237e-07
1.458706496091137e-04	2.920810e-07
1.462834274260640e-04	2.905992e-07
1.466962052430143e-04	2.870783e-07
1.471089830599647e-04	2.815182e-07
1.475217608769150e-04	2.739189e-07
1.480294432900535e-04	2.656031e-07
1.485371257031920e-04	2.598631e-07
1.490448081163305e-04	2.566990e-07
1.495524905294690e-04	2.561106e-07
1.500601729426075e-04	2.580981e-07
1.505678553557459e-04	2.626614e-07
1.510755377688844e-04	2.698004e-07
1.515157280429658e-04	2.732568e-07
1.519559183170471e-04	2.746553e-07
1.523961085911284e-04	2.739960e-07
1.528362988652098e-04	2.712789e-07
1.532764891392911e-04	2.665040e-07
1.537166794133725e-04	2.596713e-07
1.541568696874538e-04	2.507808e-07
1.546034119009963e-04	2.439773e-07
1.550499541145388e-04	2.392050e-07
1.554964963280813e-04	2.364639e-07
1.559430385416238e-04	2.357539e-07
1.563895807551663e-04	2.370751e-07
1.568361229687088e-04	2.404275e-07
1.572826651822513e-04	2.458111e-07
1.577519651372471e-04	2.492461e-07
1.582212650922428e-04	2.504834e-07
1.586905650472386e-04	2.495231e-07
1.591598650022344e-04	2.463650e-07
1.596291649572301e-04	2.410093e-07
1.600984649122259e-04	2.334559e-07
1.605677648672217e-04	2.237049e-07
1.609982228881800e-04	2.170699e-07
1.614286809091383e-04	2.122505e-07
1.618591389300967e-04	2.092469e-07
1.622895969510550e-04	2.080589e-07
1.627200549720133e-04	2.086866e-07
1.631505129929717e-04	2.111300e-07
1.635809710139300e-04	2.153891e-07
1.640114691676757e-04	2.183308e-07
1.644419673214215e-04	2.193601e-07
1.648724654751672e-04	2.184771e-07
1.653029636289129e-04	2.156817e-07
1.657334617826587e-04	2.109741e-07
1.661639599364044e-04	2.043541e-07
1.665944580901502e-04	1.958218e-07
1.670931130088803e-04	1.867864e-07
1.675917679276103e-04	1.799327e-07
1.680904228463404e-04	1.752606e-07
1.685890777650704e-04	1.727701e-07
1.690877326838005e-04	1.724611e-07
1.695863876025306e-04	1.743338e-07
1.700850425212606e-04	1.783881e-07
1.705400940965713e-04	1.796906e-07
1.709951456718819e-04	1.791217e-07
1.714501972471925e-04	1.766814e-07
1.719052488225032e-04	1.723697e-07
1.723603003978138e-04	1.661867e-07
1.728153519731245e-04	1.581323e-07
1.732704035484351e-04	1.482065e-07
1.736998197480091e-04	1.409104e-07
1.741292359475832e-04	1.352641e-07
1.745586521471572e-04	1.312676e-07
1.749880683467313e-04	1.289210e-07
1.754174845463053e-04	1.282241e-07
1.758469007458794e-04	1.291771e-07
1.762763169454534e-04	1.317799e-07
1.767422386510233e-04	1.329429e-07
1.772081603565931e-04	1.321998e-07
1.776740820621629e-04	1.295504e-07
1.781400037677328e-04	1.249948e-07
1.786059254733026e-04	1.185330e-07
1.790718471788724e-04	1.101650e-07
1.795377688844422e-04	9.989076e-08
1.799825627099266e-04	9.184412e-08
1.804273565354110e-04	8.542631e-08
1.808721503608954e-04	8.063733e-08
