time	V(n001)	I(R1)
3.233696927792930e-04	3.837430e-01	2.150330e-05
3.252184519215834e-04	3.792102e-01	2.695051e-05
3.273483764128194e-04	3.717535e-01	4.164741e-05
3.294769857721658e-04	3.608163e-01	5.942709e-05
3.319809719839333e-04	3.439072e-01	7.447402e-05
3.343683113993815e-04	3.258865e-01	7.631528e-05
3.374557838008867e-04	3.048867e-01	6.072312e-05
3.391120569747150e-04	2.960782e-01	4.731274e-05
3.407436405017478e-04	2.894951e-01	3.495008e-05
3.425047677498146e-04	2.842011e-01	2.608802e-05
3.445200531548954e-04	2.791257e-01	2.452376e-05
3.466316911762981e-04	2.729810e-01	3.282276e-05
3.486501851113832e-04	2.647748e-01	4.711612e-05
3.508180562786749e-04	2.526659e-01	6.312953e-05
3.533438076287591e-04	2.352157e-01	7.410479e-05
3.559042222439939e-04	2.165917e-01	7.160994e-05
3.594625894802654e-04	1.949876e-01	5.098807e-05
3.614013765614404e-04	1.865634e-01	3.728902e-05
3.630532086049765e-04	1.811679e-01	2.903463e-05
3.652436512884940e-04	1.751026e-01	2.657677e-05
3.673060073298158e-04	1.688393e-01	3.347747e-05
3.694681706564321e-04	1.599850e-01	4.720048e-05
3.717052362477593e-04	1.475893e-01	6.223340e-05
3.743313696664956e-04	1.298340e-01	7.222543e-05
3.769347123354678e-04	1.114668e-01	6.914207e-05
3.806788268260475e-04	8.959220e-02	4.878376e-05
3.827524918331041e-04	8.092858e-02	3.600752e-05
3.845146846670703e-04	7.523263e-02	2.939635e-05
3.867371637289834e-04	6.867506e-02	2.958258e-05
3.891429059990242e-04	6.025417e-02	3.960310e-05
3.911976063729799e-04	5.065533e-02	5.256039e-05
3.934895314751275e-04	3.702282e-02	6.529674e-05
3.961499322806847e-04	1.887287e-02	7.074029e-05
3.986903277229923e-04	1.794809e-03	6.422221e-05
4.000000000000000e-04	-6.080581e-03	5.712745e-05
4.002673708449681e-04	-7.533946e-03	5.511304e-05
4.008021125349041e-04	-1.030577e-02	5.034309e-05
4.018715959147762e-04	-1.483670e-02	3.689819e-05
4.033707247277451e-04	-1.826038e-02	1.208962e-05
4.043406434867218e-04	-1.839354e-02	-5.686048e-06
4.054712099987946e-04	-1.644034e-02	-2.537702e-05
4.067677845422044e-04	-1.178103e-02	-4.367271e-05
4.084872004421261e-04	-3.048467e-03	-5.642173e-05
4.098106766183231e-04	4.353072e-03	-5.555834e-05
4.111671330785081e-04	1.107517e-02	-4.509452e-05
4.125931976704960e-04	1.593969e-02	-2.583215e-05
4.137914173262227e-04	1.762884e-02	-5.720861e-06
4.148436370399180e-04	1.708720e-02	1.254369e-05
4.158724802399768e-04	1.478898e-02	2.894166e-05
4.174094102080216e-04	8.768874e-03	4.704520e-05
4.188370267459110e-04	1.458553e-03	5.434553e-05
4.200905223933909e-04	-5.183944e-03	5.201055e-05
4.213703933515853e-04	-1.107105e-02	4.160838e-05
4.228871900808041e-04	-1.564294e-02	2.134852e-05
4.239997321731753e-04	-1.683242e-02	3.283304e-06
4.250848812764051e-04	-1.604252e-02	-1.455393e-05
4.261757694697298e-04	-1.341800e-02	-3.062294e-05
4.277665253879046e-04	-7.086207e-03	-4.693134e-05
4.291515743520493e-04	-1.868419e-04	-5.196805e-05
4.303949118155503e-04	6.013080e-03	-4.834595e-05
4.316544027952446e-04	1.130637e-02	-3.743902e-05
4.332523867986600e-04	1.537265e-02	-1.612262e-05
4.342256468755126e-04	1.604480e-02	-8.338200e-07
4.353411937287870e-04	1.499885e-02	1.648169e-05
4.364783725314391e-04	1.209483e-02	3.188691e-05
4.381389396434708e-04	5.444898e-03	4.644982e-05
4.394895732953209e-04	-1.058354e-03	4.941212e-05
4.407295109245860e-04	-6.832849e-03	4.451971e-05
4.419949079643276e-04	-1.161143e-02	3.284998e-05
4.436722599927781e-04	-1.502478e-02	1.051100e-05
4.446566059765828e-04	-1.517885e-02	-4.354354e-06
4.458375217074781e-04	-1.349582e-02	-2.128550e-05
4.471121060789985e-04	-9.693044e-03	-3.606351e-05
4.488606553155000e-04	-2.360509e-03	-4.660162e-05
4.501918819725625e-04	3.771320e-03	-4.566252e-05
4.515530283262836e-04	9.292644e-03	-3.677149e-05
