time	I(R1)
4.785657250216070e-04	3.865684e-05
4.799058082872236e-04	4.067009e-05
4.811689886447773e-04	3.616165e-05
4.824564886345458e-04	2.596271e-05
4.841593287965010e-04	6.932832e-06
4.852031261579255e-04	-6.050656e-06
4.862149160988517e-04	-1.792008e-05
4.876243852194018e-04	-3.099494e-05
4.892770302622432e-04	-3.855744e-05
4.905813019719151e-04	-3.750075e-05
4.919155704924291e-04	-3.015564e-05
4.933744493094780e-04	-1.650273e-05
4.945297844847369e-04	-3.221877e-06
4.955954122930272e-04	9.324017e-06
4.966520023730879e-04	2.062973e-05
4.982123725320809e-04	3.266525e-05
4.996188393113261e-04	3.702773e-05
5.008674909023969e-04	3.501796e-05
5.021380894278905e-04	2.764575e-05
5.036892112791396e-04	1.326627e-05
5.047448669034488e-04	1.530767e-06
5.058433122882326e-04	-1.070111e-05
5.069561266983331e-04	-2.168108e-05
5.085754933997700e-04	-3.247363e-05
5.099451746647108e-04	-3.532591e-05
5.111834128461255e-04	-3.243279e-05
5.124343713418402e-04	-2.471656e-05
5.140697003545355e-04	-9.599101e-06
5.150008399793394e-04	3.974690e-07
5.161448387841064e-04	1.238050e-05
5.173123474018721e-04	2.285143e-05
5.190145536178775e-04	3.221010e-05
5.203411993750350e-04	3.343675e-05
5.217455389861988e-04	2.864195e-05
5.230368005701468e-04	1.950209e-05
5.244556586267294e-04	6.123958e-06
5.254431532318251e-04	-4.019704e-06
5.264750235973948e-04	-1.408655e-05
5.278383426562866e-04	-2.480155e-05
5.294980733151158e-04	-3.161556e-05
5.308053925548701e-04	-3.119680e-05
5.321484950178846e-04	-2.549381e-05
5.335710598687545e-04	-1.482231e-05
5.347909262603726e-04	-3.380054e-06
5.358400841208539e-04	6.834684e-06
5.368609155439779e-04	1.598769e-05
5.383899380420444e-04	2.619328e-05
5.398382741788710e-04	3.044982e-05
5.410961109655233e-04	2.918895e-05
5.423808603937410e-04	2.336843e-05
5.438913723166081e-04	1.208229e-05
5.450091140973347e-04	1.917135e-06
5.460921655199830e-04	-8.066757e-06
5.471795512069682e-04	-1.706348e-05
5.487668466016242e-04	-2.624011e-05
5.501541845187914e-04	-2.912881e-05
5.513981180812574e-04	-2.714743e-05
5.526588185312183e-04	-2.106802e-05
5.542516639255589e-04	-9.190170e-06
5.552341315761516e-04	-5.459956e-07
5.563478793102889e-04	9.150594e-06
5.574827058891634e-04	1.778748e-05
5.591386702613616e-04	2.598483e-05
5.604912752437454e-04	2.770653e-05
5.617262387603116e-04	2.503138e-05
5.629866905679556e-04	1.857433e-05
5.646587191526771e-04	6.141829e-06
5.656307047442248e-04	-2.085059e-06
5.668478240361522e-04	-1.187987e-05
5.680974649959182e-04	-2.004674e-05
5.698670933267134e-04	-2.610756e-05
5.712042253172901e-04	-2.560805e-05
5.725710694753031e-04	-2.061321e-05
5.740050421110586e-04	-1.155529e-05
5.751757078544607e-04	-2.437535e-06
5.762328830364086e-04	6.035702e-06
5.772733964381955e-04	1.365960e-05
5.788216296693533e-04	2.195304e-05
5.802375734714580e-04	2.514415e-05
5.814884632386987e-04	2.394508e-05
5.827638815372413e-04	1.905471e-05
5.842952148323112e-04	9.518884e-06
5.853846563458055e-04	1.318114e-06
5.864754547515342e-04	-6.957215e-06
5.875759536976197e-04	-1.440363e-05
5.891784480097021e-04	-2.185762e-05
5.905569426970979e-04	-2.402129e-05
5.917985206608650e-04	-2.222260e-05
5.930543933615475e-04	-1.709378e-05
5.946682403158016e-04	-7.060507e-06
5.956206720562445e-04	-1.288280e-07
5.967463034671202e-04	7.924773e-06
5.978951376580142e-04	1.504719e-05
5.995722312300725e-04	2.164318e-05
6.009138034584107e-04	2.280384e-05
6.021739144709352e-04	2.031236e-05
6.034585868458733e-04	1.463779e-05
6.051580066045701e-04	4.015376e-06
6.061937891466389e-04	-3.208938e-06
6.072279993912807e-04	-1.001763e-05
6.086176521704459e-04	-1.727572e-05
6.102827811968461e-04	-2.160237e-05
6.115905864442496e-04	-2.103619e-05
6.129284578284374e-04	-1.692456e-05
6.143837262072375e-04	-9.301298e-06
6.155423289769683e-04	-1.840112e-06
6.166066473889572e-04	5.185526e-06
6.176607337675508e-04	1.151548e-05
6.192190029438115e-04	1.827678e-05
6.206269927117629e-04	2.075253e-05
6.218760240803156e-04	1.964854e-05
6.231474194212026e-04	1.553234e-05
6.246952900097158e-04	7.504326e-06
6.257565269707849e-04	8.953778e-07
6.268537327618034e-04	-5.955928e-06
6.279646102076357e-04	-1.210884e-05
6.295811865699870e-04	-1.817442e-05
6.309522978979969e-04	-1.980326e-05
6.321912413964400e-04	-1.820356e-05
6.334429991620490e-04	-1.389342e-05
6.350749127827998e-04	-5.451259e-06
6.360096255745644e-04	1.714436e-07
6.371507397928831e-04	6.876739e-06
6.383154863914782e-04	1.274787e-05
6.400136645169310e-04	1.802427e-05
6.413426205358324e-04	1.875353e-05
6.427482879909839e-04	1.609919e-05
6.440347510952393e-04	1.102192e-05
6.454629174286723e-04	3.489736e-06
6.464480475056975e-04	-2.182938e-06
6.474926058346264e-04	-7.897002e-06
6.488459479024215e-04	-1.386830e-05
6.505130828279599e-04	-1.771972e-05
6.518224462683152e-04	-1.748806e-05
6.531674268740919e-04	-1.428614e-05
6.545893525506325e-04	-8.305238e-06
6.558084675475145e-04	-1.894893e-06
6.568575032334372e-04	3.830355e-06
6.578781787253941e-04	8.960480e-06
6.594072476712273e-04	1.468193e-05
6.608558087560959e-04	1.706866e-05
6.621137044325372e-04	1.636189e-05
6.633985129749458e-04	1.309898e-05
6.649090014492009e-04	6.772538e-06
6.660267061761821e-04	1.074621e-06
6.671097542869022e-04	-4.521843e-06
6.681971370184807e-04	-9.564952e-06
6.697844383608902e-04	-1.470893e-05
6.711717959880072e-04	-1.632819e-05
6.724157497285657e-04	-1.521744e-05
6.736764680645933e-04	-1.180949e-05
6.752693224193233e-04	-5.151226e-06
6.762517498637145e-04	-3.059073e-07
6.773655025924692e-04	5.129540e-06
6.785003359531471e-04	9.970952e-06
6.801563172775585e-04	1.456592e-05
6.815089356394836e-04	1.553090e-05
6.827439237759020e-04	1.403117e-05
6.840044026935928e-04	1.041143e-05
6.856764522725573e-04	3.442152e-06
6.866484952435043e-04	-1.169716e-06
6.878654434828757e-04	-6.659404e-06
6.891151988833843e-04	-1.123766e-05
6.908847270910802e-04	-1.463466e-05
6.922218512062767e-04	-1.435457e-05
6.935886866032732e-04	-1.155466e-05
6.950226763977182e-04	-6.477127e-06
6.961933213701884e-04	-1.366234e-06
6.972505034802739e-04	3.383474e-06
6.982910311718783e-04	7.657090e-06
6.998392762134823e-04	1.230594e-05
7.012552336139920e-04	1.409460e-05
7.025061451881722e-04	1.342231e-05
7.037815803153009e-04	1.068082e-05
7.053129411627506e-04	5.335266e-06
7.064023107114745e-04	7.385815e-07
7.074931219715396e-04	-3.900201e-06
7.085936431204573e-04	-8.074318e-06
7.101961693942420e-04	-1.225255e-05
7.115746708675274e-04	-1.346516e-05
7.128162687626284e-04	-1.245665e-05
7.140721542705246e-04	-9.581439e-06
7.156860495274717e-04	-3.956920e-06
7.166384165128560e-04	-7.158993e-08
7.177640975439931e-04	4.443007e-06
7.189129855387378e-04	8.435494e-06
7.205901487035836e-04	1.213253e-05
7.219317028795215e-04	1.278262e-05
7.231919107736992e-04	1.138539e-05
7.244766764253537e-04	8.203745e-06
7.261761972755949e-04	2.248570e-06
7.272122279739972e-04	-1.801962e-06
7.282457397896832e-04	-5.615872e-06
7.296359994563010e-04	-9.685627e-06
7.313007385120060e-04	-1.210942e-05
7.326084575887611e-04	-1.179159e-05
7.339462389251627e-04	-9.486642e-06
7.354016204964603e-04	-5.212854e-06
7.365601017801021e-04	-1.030828e-06
7.376244631354978e-04	2.907529e-06
7.386786331644807e-04	6.455934e-06
7.402369745769375e-04	1.024571e-05
7.416449404127700e-04	1.163293e-05
7.428939882730957e-04	1.101359e-05
7.441653828565104e-04	8.705805e-06
7.457133744884245e-04	4.204969e-06
7.467743720022114e-04	5.010526e-07
7.478716266208701e-04	-3.339570e-06
7.489825815553462e-04	-6.788636e-06
7.505992728517743e-04	-1.018835e-05
7.519703546988361e-04	-1.110071e-05
7.532092970923774e-04	-1.020343e-05
7.544610497775675e-04	-7.786899e-06
7.560931100241639e-04	-3.053816e-06
7.570276438194378e-04	9.745818e-08
7.581688920692742e-04	3.856427e-06
7.593337679576963e-04	7.147455e-06
7.610321369106132e-04	1.010435e-05
7.623610141741760e-04	1.051203e-05
7.637666445202513e-04	9.023174e-06
7.650533439055177e-04	6.175812e-06
